## BEGIN HEADER
#
##------------------------------------------------------------------------------
## Origin Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#SOURCE:   "Ocean Networks Canada Data Archive"  / Citation Author
#HTTP:      http://www.oceannetworks.ca          / Citation Publication Site
#HOME:     "University of Victoria, Canada"      / Citation Publication Location
#FLDATE:    2021-10-03T10:38:18.476Z  / File Creation Date = Date for Citation
#CITATION: "Ocean Networks Canada Data Archive, http://www.oceannetworks.ca, Turbidity data from 3 Oct - 31 Dec 2011, University of Victoria, Canada, Downloaded on 3 Oct 2021"  / Citation Title
#METADATF:  StraitofGeorgiaCentral_StraitofGeorgiaVENUSInstrumentPlatform_TurbidityMeter_Turbidity_20111003T210000Z_20111231T000000Z-NaN_clean_avg1hour_CSV_META.pdf  / Metadata file name
#SEARCHID:  22523497                             / DMAS Search ID from Oceans2.0
#
##------------------------------------------------------------------------------
## Location Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#STNNAME:   OceanNetworksCanada-Pacific-SalishSea-StraitofGeorgia-StraitofGeorgiaCentral-StraitofGeorgiaVENUSInstrumentPlatform  / Station Name 
#STNCODE:   SCVIP                                / Station Code 
#LATITUDE:     49.035983                         / Latitude North
#LONGITUDE:  -123.427217                         / Longitude East
#DEPTH:       304.0                              / Depth (m)
#
##------------------------------------------------------------------------------
## Device Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DEVCAT: Turbidity Meter                         / Device Category
#DEVTOT:    2  / Total number of Device Deployments contributing to data
#
#DEPLDATE1: 2011-01-01T00:00:00.000Z             / Device 1 Deployment Date
#DEVNAME1: "WET Labs ECO-NTUS 117"               / Device Name of Device 1
#DEVCODE1:  WLNTUS0117                           / Device Code of Device 1
#DEVID1:    64                                   / Device ID of Device 1
#
#DEPLDATE2: 2011-10-03T14:00:00.000Z             / Device 2 Deployment Date
#DEVNAME2: "WET Labs ECO-NTUS 117"               / Device Name of Device 2
#DEVCODE2:  WLNTUS0117                           / Device Code of Device 2
#DEVID2:    64                                   / Device ID of Device 2
#
##------------------------------------------------------------------------------
## Data Section - more information in Metadata file or Oceans 2.0
##------------------------------------------------------------------------------
#DATEFROM:  2011-10-03T21:00:00.000Z             / Data Start Time
#DATETO:    2011-12-31T00:00:00.000Z             / Data End Time
#PERIODTOT: 1                                    / Number of Sample Periods
#PERIODST1: 2011-10-03T14:00:00.000Z             / Sample Period 1 Start Time
#PERIOD1:   60                                   / Sensor Sample Period 1 (s)
#RESAMPPRD: 3600                                 / Resample Period (s)
#RESAMPTYP: Average                              / Resample Type
#RESAMPMIN: 70%  / Minimum percent valid data per resample
#RESAMPDCR: Fixed window averaging without overlap  / Resample Description
#TOTSAMPLE: 2095                                 / Samples in File
#TOTSMPEXP: 2115                                 / Samples expected
#DPOPTGAPS: NaN  / Data Gaps: NaN - Fill missing/bad data with NaNs (Not a Number) 
#DPOPTQC:   Clean  / Quality Control: Clean Data - replace data that have QAQC flags 3 or 4 with NaNs 
#QAREMARK:  None                                 / Quality Assurance Remarks
#
#"QC Flag (0-9): 0 = no QC; 1 = good; 2 = probably good, use with caution; 3 = probably bad; 4 = bad; 6 = bad down-sampling; 7 = Averaged value; 8 = Interpolated Value; 9 = Missing Value (NaN). See metadata for more information."
#"Time UTC (yyyy-mm-ddThh:mm:ss.fffZ)", "Turbidity (NTU)", "Turbidity QC Flag" , "Turbidity Count"  
## END HEADER
2011-10-06T07:30:00.000Z, 1.564583333, 7, 60
2011-10-06T08:30:00.000Z, 1.565125, 7, 60
2011-10-06T09:30:00.000Z, 1.565291667, 7, 60
2011-10-06T10:30:00.000Z, 1.565208333, 7, 60
2011-10-06T11:30:00.000Z, 1.565041667, 7, 60
2011-10-06T12:30:00.000Z, 1.56525, 7, 60
2011-10-06T13:30:00.000Z, 1.565833333, 7, 60
2011-10-06T14:30:00.000Z, 1.565458333, 7, 60
2011-10-06T15:30:00.000Z, 1.565333333, 7, 60
2011-10-06T16:30:00.000Z, 1.565916667, 7, 60
2011-10-06T17:30:00.000Z, 1.566041667, 7, 60
2011-10-06T18:30:00.000Z, 1.56475, 7, 60
2011-10-06T19:30:00.000Z, 1.56575, 7, 60
2011-10-06T20:30:00.000Z, 1.565208333, 7, 60
2011-10-06T21:30:00.000Z, 1.565875, 7, 60
2011-10-06T22:30:00.000Z, 1.564916667, 7, 60
2011-10-06T23:30:00.000Z, 1.565083333, 7, 60
2011-10-07T00:30:00.000Z, 1.564958333, 7, 60
2011-10-07T01:30:00.000Z, 1.564541667, 7, 60
2011-10-07T02:30:00.000Z, 1.564583333, 7, 60
2011-10-07T03:30:00.000Z, 1.565166667, 7, 60
2011-10-07T04:30:00.000Z, 1.565333333, 7, 60
2011-10-07T05:30:00.000Z, 1.56475, 7, 60
2011-10-07T06:30:00.000Z, 1.56475, 7, 60
2011-10-07T07:30:00.000Z, 1.564958333, 7, 60
2011-10-07T08:30:00.000Z, 1.563666667, 7, 60
2011-10-07T09:30:00.000Z, 1.564625, 7, 60
2011-10-07T10:30:00.000Z, 1.564791667, 7, 60
2011-10-07T11:30:00.000Z, 1.56475, 7, 60
2011-10-07T12:30:00.000Z, 1.565583333, 7, 60
2011-10-07T13:30:00.000Z, 1.565125, 7, 60
2011-10-07T14:30:00.000Z, 1.565416667, 7, 60
2011-10-07T15:30:00.000Z, 1.564583333, 7, 60
2011-10-07T16:30:00.000Z, 1.564916667, 7, 60
2011-10-07T17:30:00.000Z, 1.565625, 7, 60
2011-10-07T18:30:00.000Z, 1.564583333, 7, 60
2011-10-07T19:30:00.000Z, 1.565125, 7, 60
2011-10-07T20:30:00.000Z, 1.56425, 7, 60
2011-10-07T21:30:00.000Z, 1.565166667, 7, 60
2011-10-07T22:30:00.000Z, 1.56525, 7, 60
2011-10-07T23:30:00.000Z, 1.565583333, 7, 60
2011-10-08T00:30:00.000Z, 1.564958333, 7, 60
2011-10-08T01:30:00.000Z, 1.565, 7, 60
2011-10-08T02:30:00.000Z, 1.565, 7, 60
2011-10-08T03:30:00.000Z, 1.565458333, 7, 60
2011-10-08T04:30:00.000Z, 1.563791667, 7, 60
2011-10-08T05:30:00.000Z, 1.564666667, 7, 60
2011-10-08T06:30:00.000Z, 1.564, 7, 60
2011-10-08T07:30:00.000Z, 1.564583333, 7, 60
2011-10-08T08:30:00.000Z, 1.565416667, 7, 60
2011-10-08T09:30:00.000Z, 1.565458333, 7, 60
2011-10-08T10:30:00.000Z, 1.566083333, 7, 60
2011-10-08T11:30:00.000Z, 1.566166667, 7, 60
2011-10-08T12:30:00.000Z, 1.565916667, 7, 60
2011-10-08T13:30:00.000Z, 1.565958333, 7, 60
2011-10-08T14:30:00.000Z, 1.566416667, 7, 60
2011-10-08T15:30:00.000Z, 1.565791667, 7, 60
2011-10-08T16:30:00.000Z, 1.565333333, 7, 60
2011-10-08T17:30:00.000Z, 1.565416667, 7, 60
2011-10-08T18:30:00.000Z, 1.565208333, 7, 60
2011-10-08T19:30:00.000Z, 1.56475, 7, 60
2011-10-08T20:30:00.000Z, 1.565041667, 7, 60
2011-10-08T21:30:00.000Z, 1.565375, 7, 60
2011-10-08T22:30:00.000Z, 1.565833333, 7, 60
2011-10-08T23:30:00.000Z, 1.566125, 7, 60
2011-10-09T00:30:00.000Z, 1.565708333, 7, 60
2011-10-09T01:30:00.000Z, 1.566291667, 7, 60
2011-10-09T02:30:00.000Z, 1.565833333, 7, 60
2011-10-09T03:30:00.000Z, 1.565083333, 7, 60
2011-10-09T04:30:00.000Z, 1.566083333, 7, 60
2011-10-09T05:30:00.000Z, 1.565083333, 7, 60
2011-10-09T06:30:00.000Z, 1.565333333, 7, 60
2011-10-09T07:30:00.000Z, 1.565666667, 7, 60
2011-10-09T08:30:00.000Z, 1.56575, 7, 60
2011-10-09T09:30:00.000Z, 1.566, 7, 60
2011-10-09T10:30:00.000Z, 1.566208333, 7, 60
2011-10-09T11:30:00.000Z, 1.565708333, 7, 60
2011-10-09T12:30:00.000Z, 1.565541667, 7, 60
2011-10-09T13:30:00.000Z, 1.565833333, 7, 60
2011-10-09T14:30:00.000Z, 1.566291667, 7, 60
2011-10-09T15:30:00.000Z, 1.565458333, 7, 60
2011-10-09T16:30:00.000Z, 1.565833333, 7, 60
2011-10-09T17:30:00.000Z, 1.565875, 7, 60
2011-10-09T18:30:00.000Z, 1.5655, 7, 60
2011-10-09T19:30:00.000Z, 1.56575, 7, 60
2011-10-09T20:30:00.000Z, 1.5655, 7, 60
2011-10-09T21:30:00.000Z, 1.566041667, 7, 60
2011-10-09T22:30:00.000Z, 1.566, 7, 60
2011-10-09T23:30:00.000Z, 1.56525, 7, 60
2011-10-10T00:30:00.000Z, 1.566166667, 7, 60
2011-10-10T01:30:00.000Z, 1.566625, 7, 60
2011-10-10T02:30:00.000Z, 1.566041667, 7, 60
2011-10-10T03:30:00.000Z, 1.566291667, 7, 60
2011-10-10T04:30:00.000Z, 1.565541667, 7, 60
2011-10-10T05:30:00.000Z, 1.564958333, 7, 60
2011-10-10T06:30:00.000Z, 1.565541667, 7, 60
2011-10-10T07:30:00.000Z, 1.566166667, 7, 60
2011-10-10T08:30:00.000Z, 1.566, 7, 60
2011-10-10T09:30:00.000Z, 1.565333333, 7, 60
2011-10-10T10:30:00.000Z, 1.565958333, 7, 60
2011-10-10T11:30:00.000Z, 1.566041667, 7, 60
2011-10-10T12:30:00.000Z, 1.5665, 7, 60
2011-10-10T13:30:00.000Z, 1.56575, 7, 60
2011-10-10T14:30:00.000Z, 1.565416667, 7, 60
2011-10-10T15:30:00.000Z, 1.565833333, 7, 60
2011-10-10T16:30:00.000Z, 1.565625, 7, 60
2011-10-10T17:30:00.000Z, 1.565458333, 7, 60
2011-10-10T18:30:00.000Z, 1.565416667, 7, 60
2011-10-10T19:30:00.000Z, 1.565458333, 7, 60
2011-10-10T20:30:00.000Z, 1.565208333, 7, 60
2011-10-10T21:30:00.000Z, 1.565833333, 7, 60
2011-10-10T22:30:00.000Z, 1.565333333, 7, 60
2011-10-10T23:30:00.000Z, 1.565625, 7, 60
2011-10-11T00:30:00.000Z, 1.565833333, 7, 60
2011-10-11T01:30:00.000Z, 1.565375, 7, 60
2011-10-11T02:30:00.000Z, 1.565333333, 7, 60
